time,zip,county,n_ev,n_bev,n_phev,m_ev,m_bev,m_phev
2017-01-31,98447,Pierce,2,,2,43,24,20
2017-01-31,98465,Pierce,22,11,11,43,24,20
2017-01-31,98466,Pierce,50,32,18,43,24,20
2017-01-31,98467,Pierce,36,19,17,43,24,20
2017-01-31,98498,Pierce,39,20,19,43,24,20
2017-01-31,98499,Pierce,25,12,13,43,24,20
2017-01-31,98501,Thurston,132,60,72,43,24,20
2017-01-31,98502,Thurston,95,49,46,43,24,20
2017-01-31,98503,Thurston,59,30,29,43,24,20
2017-01-31,98506,Thurston,61,35,26,43,24,20
2017-01-31,98512,Thurston,60,34,26,43,24,20
2017-01-31,98513,Thurston,58,28,30,43,24,20
2017-01-31,98516,Thurston,60,28,32,43,24,20
2017-01-31,98520,Grays Harbor,15,8,7,43,24,20
2017-01-31,98524,Mason,13,5,8,43,24,20
2017-01-31,98526,Grays Harbor,,,,43,24,20
2017-01-31,98527,Pacific,,,,43,24,20
2017-01-31,98528,Mason,17,10,7,43,24,20
2017-01-31,98530,Thurston,,,,43,24,20
2017-01-31,98531,Lewis,30,17,13,43,24,20
2017-01-31,98532,Lewis,20,10,10,43,24,20
2017-01-31,98533,Lewis,,,,43,24,20
2017-01-31,98535,Grays Harbor,,,,43,24,20
2017-01-31,98536,Grays Harbor,,,,43,24,20
2017-01-31,98537,Grays Harbor,,,,43,24,20
2017-01-31,98538,Lewis,,,,43,24,20
2017-01-31,98541,Grays Harbor,7,2,5,43,24,20
2017-01-31,98542,Lewis,,,,43,24,20
2017-01-31,98544,Lewis,,,,43,24,20
2017-01-31,98546,Mason,6,2,4,43,24,20
2017-01-31,98547,Grays Harbor,1,,1,43,24,20
2017-01-31,98548,Mason,6,4,2,43,24,20
2017-01-31,98550,Grays Harbor,8,6,2,43,24,20
2017-01-31,98552,Grays Harbor,,,,43,24,20
2017-01-31,98555,Mason,,,,43,24,20
2017-01-31,98557,Grays Harbor,1,,1,43,24,20
2017-01-31,98558,Pierce,,,,43,24,20
2017-01-31,98559,Grays Harbor,,,,43,24,20
2017-01-31,98560,Mason,1,,1,43,24,20
2017-01-31,98562,Grays Harbor,,,,43,24,20
2017-01-31,98563,Grays Harbor,6,4,2,43,24,20
2017-01-31,98564,Lewis,3,2,1,43,24,20
2017-01-31,98565,Lewis,,,,43,24,20
2017-01-31,98568,Grays Harbor,3,2,1,43,24,20
2017-01-31,98569,Grays Harbor,8,3,5,43,24,20
2017-01-31,98570,Lewis,4,2,2,43,24,20
2017-01-31,98571,Grays Harbor,,,,43,24,20
2017-01-31,98572,Lewis,,,,43,24,20
2017-01-31,98575,Grays Harbor,,,,43,24,20
2017-01-31,98576,Thurston,9,5,4,43,24,20
2017-01-31,98577,Pacific,3,1,2,43,24,20
2017-01-31,98579,Thurston,10,4,6,43,24,20
2017-01-31,98580,Pierce,19,9,10,43,24,20
2017-01-31,98581,Cowlitz,,,,43,24,20
2017-01-31,98582,Lewis,,,,43,24,20
2017-01-31,98583,Grays Harbor,,,,43,24,20
2017-01-31,98584,Mason,44,18,26,43,24,20
2017-01-31,98585,Lewis,2,1,1,43,24,20
2017-01-31,98586,Pacific,,,,43,24,20
2017-01-31,98587,Grays Harbor,,,,43,24,20
2017-01-31,98588,Mason,3,,3,43,24,20
2017-01-31,98589,Thurston,16,8,8,43,24,20
2017-01-31,98590,Pacific,,,,43,24,20
2017-01-31,98591,Lewis,2,1,1,43,24,20
2017-01-31,98592,Mason,4,2,2,43,24,20
2017-01-31,98593,Lewis,1,1,,43,24,20
2017-01-31,98595,Grays Harbor,,,,43,24,20
2017-01-31,98596,Lewis,5,2,3,43,24,20
2017-01-31,98597,Thurston,29,13,16,43,24,20
2017-01-31,98601,Clark,3,2,1,43,24,20
2017-01-31,98602,Klickitat,,,,43,24,20
2017-01-31,98603,Cowlitz,2,,2,43,24,20
2017-01-31,98604,Clark,62,40,22,43,24,20
2017-01-31,98605,Klickitat,,,,43,24,20
2017-01-31,98606,Clark,41,28,13,43,24,20
2017-01-31,98607,Clark,136,87,49,43,24,20
2017-01-31,98610,Skamania,2,,2,43,24,20
2017-01-31,98611,Cowlitz,8,,8,43,24,20
2017-01-31,98612,Wahkiakum,1,,1,43,24,20
2017-01-31,98613,Klickitat,1,1,,43,24,20
2017-01-31,98614,Pacific,,,,43,24,20
2017-01-31,98616,Cowlitz,,,,43,24,20
2017-01-31,98617,Klickitat,1,,1,43,24,20
2017-01-31,98619,Klickitat,2,1,1,43,24,20
2017-01-31,98620,Klickitat,5,1,4,43,24,20
2017-01-31,98621,Wahkiakum,,,,43,24,20
2017-01-31,98624,Pacific,2,1,1,43,24,20
2017-01-31,98625,Cowlitz,7,2,5,43,24,20
2017-01-31,98626,Cowlitz,11,7,4,43,24,20
2017-01-31,98628,Klickitat,,,,43,24,20
2017-01-31,98629,Clark,13,6,7,43,24,20
2017-01-31,98631,Pacific,1,1,,43,24,20
2017-01-31,98632,Cowlitz,48,22,26,43,24,20
2017-01-31,98635,Klickitat,7,3,4,43,24,20
2017-01-31,98638,Pacific,,,,43,24,20
2017-01-31,98639,Skamania,1,,1,43,24,20
2017-01-31,98640,Pacific,2,2,,43,24,20
2017-01-31,98641,Pacific,,,,43,24,20
2017-01-31,98642,Clark,60,29,31,43,24,20
2017-01-31,98643,Wahkiakum,,,,43,24,20
2017-01-31,98644,Pacific,2,,2,43,24,20
2017-01-31,98645,Cowlitz,2,2,,43,24,20
2017-01-31,98647,Wahkiakum,,,,43,24,20
2017-01-31,98648,Skamania,3,1,2,43,24,20
2017-01-31,98649,Cowlitz,,,,43,24,20
2017-01-31,98650,Klickitat,1,1,,43,24,20
2017-01-31,98651,Skamania,2,1,1,43,24,20
2017-01-31,98660,Clark,23,17,6,43,24,20
2017-01-31,98661,Clark,67,41,26,43,24,20
2017-01-31,98662,Clark,46,22,24,43,24,20
2017-01-31,98663,Clark,25,19,6,43,24,20
2017-01-31,98664,Clark,41,26,15,43,24,20
2017-01-31,98665,Clark,58,42,16,43,24,20
2017-01-31,98670,Klickitat,,,,43,24,20
2017-01-31,98671,Clark,40,23,17,43,24,20
2017-01-31,98672,Klickitat,21,11,10,43,24,20
2017-01-31,98673,Klickitat,1,1,,43,24,20
2017-01-31,98674,Cowlitz,22,16,6,43,24,20
2017-01-31,98675,Clark,6,,6,43,24,20
2017-01-31,98682,Clark,114,53,61,43,24,20
2017-01-31,98683,Clark,77,47,30,43,24,20
2017-01-31,98684,Clark,52,28,24,43,24,20
2017-01-31,98685,Clark,91,57,34,43,24,20
2017-01-31,98686,Clark,50,27,23,43,24,20
2017-01-31,98801,Chelan,35,23,12,43,24,20
2017-01-31,98802,Douglas,30,17,13,43,24,20
2017-01-31,98811,Chelan,,,,43,24,20
2017-01-31,98812,Okanogan,1,,1,43,24,20
2017-01-31,98813,Douglas,,,,43,24,20
2017-01-31,98814,Okanogan,2,,2,43,24,20
2017-01-31,98815,Chelan,7,2,5,43,24,20
2017-01-31,98816,Chelan,8,7,1,43,24,20
2017-01-31,98817,Chelan,,,,43,24,20
2017-01-31,98819,Okanogan,,,,43,24,20
2017-01-31,98821,Chelan,,,,43,24,20
2017-01-31,98822,Chelan,,,,43,24,20
2017-01-31,98823,Grant,8,2,6,43,24,20
2017-01-31,98824,Grant,,,,43,24,20
2017-01-31,98826,Chelan,13,8,5,43,24,20
2017-01-31,98827,Okanogan,,,,43,24,20
2017-01-31,98828,Chelan,2,1,1,43,24,20
2017-01-31,98829,Okanogan,,,,43,24,20
2017-01-31,98830,Douglas,2,2,,43,24,20
2017-01-31,98831,Chelan,1,1,,43,24,20
2017-01-31,98832,Grant,,,,43,24,20
2017-01-31,98833,Okanogan,1,,1,43,24,20
2017-01-31,98834,Okanogan,1,,1,43,24,20
2017-01-31,98836,Chelan,,,,43,24,20
2017-01-31,98837,Grant,15,5,10,43,24,20
2017-01-31,98840,Okanogan,1,1,,43,24,20
2017-01-31,98841,Okanogan,2,,2,43,24,20
2017-01-31,98843,Douglas,4,3,1,43,24,20
