OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
2079015504627016|53007961001|Census Tract 9610.01|913100|0|G5020|S|20740865411212|53007961000|Census Tract 9610|3011204|513919|G5020|S|913100|0
2079015504627003|53007961002|Census Tract 9610.02|2098104|513919|G5020|S|20740865411212|53007961000|Census Tract 9610|3011204|513919|G5020|S|2098104|513919
2079015504627007|53007961101|Census Tract 9611.01|1531284|0|G5020|S|20740865411215|53007961100|Census Tract 9611|6845476|770013|G5020|S|1531284|0
2079015504626968|53007961102|Census Tract 9611.02|5316192|770013|G5020|S|20740865411215|53007961100|Census Tract 9611|6845476|770013|G5020|S|5299892|770013
2079015504626968|53007961102|Census Tract 9611.02|5316192|770013|G5020|S|20740865411193|53007961200|Census Tract 9612|315478223|5108815|G5020|S|16300|0
20790865411193|53007961200|Census Tract 9612|315469094|5108815|G5020|S|20740865411215|53007961100|Census Tract 9611|6845476|770013|G5020|S|14300|0
20790865411193|53007961200|Census Tract 9612|315469094|5108815|G5020|S|20740865411193|53007961200|Census Tract 9612|315478223|5108815|G5020|S|315446632|5108815
20790865411193|53007961200|Census Tract 9612|315469094|5108815|G5020|S|20740898313454|53037975300|Census Tract 9753|1536324352|12882808|G5020|S|8162|0
207903716915404|53007961301|Census Tract 9613.01|16733511|0|G5020|S|207403716915404|53007961301|Census Tract 9613.01|16711689|0|G5020|S|16711689|0
207903716915404|53007961301|Census Tract 9613.01|16733511|0|G5020|S|207403716915401|53007961302|Census Tract 9613.02|27303992|0|G5020|S|21822|0
2079015504626955|53007961303|Census Tract 9613.03|1902565|0|G5020|S|207403716915401|53007961302|Census Tract 9613.02|27303992|0|G5020|S|1902565|0
2079015504626957|53007961304|Census Tract 9613.04|25380996|0|G5020|S|207403716915406|53007960801|Census Tract 9608.01|25066020|159054|G5020|S|35230|0
2079015504626957|53007961304|Census Tract 9613.04|25380996|0|G5020|S|207403716915401|53007961302|Census Tract 9613.02|27303992|0|G5020|S|25345766|0
20790479118089|53009000300|Census Tract 3|57464341|98801|G5020|S|20740479118089|53009000300|Census Tract 3|59399809|93589|G5020|S|57462053|93589
20790479118089|53009000300|Census Tract 3|57464341|98801|G5020|S|207403717924259|53009000400|Census Tract 4|1061324847|6248305|G5020|S|2288|5212
20790479118098|53009000600|Census Tract 6|1066254788|45266677|G5020|S|20740479118098|53009000600|Census Tract 6|1066422545|24355444|G5020|S|1066198465|24280931
20790479118098|53009000600|Census Tract 6|1066254788|45266677|G5020|S|20740479118094|53009001500|Census Tract 15|510423545|2293425|G5020|S|43660|3189
20790479118098|53009000600|Census Tract 6|1066254788|45266677|G5020|S|207403718040470|53009990100|Census Tract 9901|27784|2343118332|G5020|S|0|20982557
20790479118098|53009000600|Census Tract 6|1066254788|45266677|G5020|S|207403704924138|53031950702|Census Tract 9507.02|3995213812|187409645|G5020|S|12663|0
20790479118093|53009000700|Census Tract 7|12436402|11564300|G5020|S|20740479118093|53009000700|Census Tract 7|12332545|76957|G5020|S|12298590|76403
20790479118093|53009000700|Census Tract 7|12436402|11564300|G5020|S|20740479118094|53009001500|Census Tract 15|510423545|2293425|G5020|S|114298|0
20790479118093|53009000700|Census Tract 7|12436402|11564300|G5020|S|207403718040470|53009990100|Census Tract 9901|27784|2343118332|G5020|S|23514|11487897
