census_tract_2020,census_tract_2010
53033029507,53033029502.0
53033029508,53033029502.0
53033029602,53033029602.0
53033029603,53033029601.0
53033029604,53033029601.0
53033029701,53033029700.0
53033029702,53033029700.0
53033029803,53033029801.0
53033029804,53033029801.0
53033029805,53033029802.0
53033029806,53033029802.0
53033029901,53033029901.0
53033029902,53033029902.0
53033030003,53033030003.0
53033030005,53033030005.0
53033030006,53033030006.0
53033030007,53033030004.0
53033030008,53033030004.0
53033030101,53033030100.0
53033030102,53033030100.0
53033030201,53033030201.0
53033030203,53033030202.0
53033030204,53033030202.0
53033030304,53033030304.0
53033030305,53033030305.0
53033030306,53033030306.0
53033030308,53033030308.0
53033030309,53033030309.0
53033030310,53033030310.0
53033030311,53033030311.0
53033030312,53033030312.0
53033030313,53033030313.0
53033030314,53033030314.0
53033030403,53033030403.0
53033030404,53033030404.0
53033030405,53033030401.0
53033030406,53033030401.0
53033030407,53033030401.0
53033030501,53033030501.0
53033030503,53033030503.0
53033030504,53033030504.0
53033030600,53033030600.0
53033030700,53033030700.0
53033030801,53033030801.0
53033030802,53033030802.0
53033030901,53033030901.0
53033030902,53033030902.0
53033031000,53033031000.0
53033031101,53033031100.0
53033031102,53033031100.0
53033031202,53033031202.0
53033031204,53033031204.0
53033031206,53033031206.0
53033031207,53033031205.0
53033031208,53033031205.0
53033031301,53033031301.0
53033031302,53033031302.0
53033031400,53033031400.0
53033031501,53033031501.0
53033031502,53033031502.0
53033031601,53033031601.0
53033031603,53033031603.0
53033031604,53033031604.0
53033031605,53033031605.0
53033031704,53033031704.0
53033031705,53033031705.0
53033031707,53033031703.0
53033031708,53033031703.0
53033031709,53033031706.0
53033031710,53033031706.0
53033031800,53033031800.0
53033031904,53033031904.0
53033031906,53033031906.0
53033031908,53033031908.0
53033031909,53033031909.0
53033031910,53033031907.0
53033031911,53033031907.0
53033031912,53033031903.0
53033031913,53033031903.0
53033032002,53033032002.0
53033032003,53033032003.0
53033032005,53033032005.0
53033032006,53033032006.0
53033032007,53033032007.0
53033032008,53033032008.0
