id,Total,Geographic Area Name,zip
8600000US98644,473,ZCTA5 98644,98644
8600000US98645,1429,ZCTA5 98645,98645
8600000US98647,404,ZCTA5 98647,98647
8600000US98648,3100,ZCTA5 98648,98648
8600000US98649,895,ZCTA5 98649,98649
8600000US98650,959,ZCTA5 98650,98650
8600000US98651,939,ZCTA5 98651,98651
8600000US98660,11858,ZCTA5 98660,98660
8600000US98661,41740,ZCTA5 98661,98661
8600000US98662,31644,ZCTA5 98662,98662
8600000US98663,14115,ZCTA5 98663,98663
8600000US98664,21771,ZCTA5 98664,98664
8600000US98665,24057,ZCTA5 98665,98665
8600000US98670,113,ZCTA5 98670,98670
8600000US98671,21220,ZCTA5 98671,98671
8600000US98672,6146,ZCTA5 98672,98672
8600000US98673,404,ZCTA5 98673,98673
8600000US98674,12029,ZCTA5 98674,98674
8600000US98675,6713,ZCTA5 98675,98675
8600000US98682,52893,ZCTA5 98682,98682
8600000US98683,30832,ZCTA5 98683,98683
8600000US98684,26968,ZCTA5 98684,98684
8600000US98685,26217,ZCTA5 98685,98685
8600000US98686,17385,ZCTA5 98686,98686
8600000US98801,40977,ZCTA5 98801,98801
8600000US98802,28719,ZCTA5 98802,98802
8600000US98811,71,ZCTA5 98811,98811
8600000US98812,4899,ZCTA5 98812,98812
8600000US98813,3176,ZCTA5 98813,98813
8600000US98814,466,ZCTA5 98814,98814
8600000US98815,7233,ZCTA5 98815,98815
8600000US98816,6394,ZCTA5 98816,98816
8600000US98817,366,ZCTA5 98817,98817
8600000US98819,258,ZCTA5 98819,98819
8600000US98821,519,ZCTA5 98821,98821
8600000US98822,1953,ZCTA5 98822,98822
8600000US98823,11055,ZCTA5 98823,98823
8600000US98824,181,ZCTA5 98824,98824
8600000US98826,6504,ZCTA5 98826,98826
8600000US98827,312,ZCTA5 98827,98827
8600000US98828,2146,ZCTA5 98828,98828
8600000US98829,564,ZCTA5 98829,98829
8600000US98830,494,ZCTA5 98830,98830
8600000US98831,3708,ZCTA5 98831,98831
8600000US98832,320,ZCTA5 98832,98832
8600000US98833,150,ZCTA5 98833,98833
8600000US98834,239,ZCTA5 98834,98834
8600000US98836,584,ZCTA5 98836,98836
8600000US98837,39722,ZCTA5 98837,98837
8600000US98840,4851,ZCTA5 98840,98840
8600000US98841,9197,ZCTA5 98841,98841
8600000US98843,1817,ZCTA5 98843,98843
8600000US98844,4740,ZCTA5 98844,98844
8600000US98845,128,ZCTA5 98845,98845
8600000US98846,1173,ZCTA5 98846,98846
8600000US98847,1920,ZCTA5 98847,98847
8600000US98848,11518,ZCTA5 98848,98848
8600000US98849,1078,ZCTA5 98849,98849
8600000US98850,1543,ZCTA5 98850,98850
8600000US98851,4014,ZCTA5 98851,98851
8600000US98852,104,ZCTA5 98852,98852
8600000US98853,23,ZCTA5 98853,98853
8600000US98855,5863,ZCTA5 98855,98855
8600000US98856,2464,ZCTA5 98856,98856
8600000US98857,4082,ZCTA5 98857,98857
8600000US98858,1521,ZCTA5 98858,98858
8600000US98859,238,ZCTA5 98859,98859
8600000US98860,259,ZCTA5 98860,98860
8600000US98862,2218,ZCTA5 98862,98862
8600000US98901,30169,ZCTA5 98901,98901
8600000US98902,46322,ZCTA5 98902,98902
8600000US98903,14517,ZCTA5 98903,98903
8600000US98908,35240,ZCTA5 98908,98908
8600000US98921,516,ZCTA5 98921,98921
8600000US98922,5468,ZCTA5 98922,98922
8600000US98923,1434,ZCTA5 98923,98923
8600000US98925,689,ZCTA5 98925,98925
8600000US98926,30239,ZCTA5 98926,98926
8600000US98929,0,ZCTA5 98929,98929
8600000US98930,15252,ZCTA5 98930,98930
8600000US98932,5032,ZCTA5 98932,98932
8600000US98933,1267,ZCTA5 98933,98933
8600000US98934,1117,ZCTA5 98934,98934
8600000US98935,4190,ZCTA5 98935,98935
8600000US98936,5872,ZCTA5 98936,98936
8600000US98937,4112,ZCTA5 98937,98937
8600000US98938,2177,ZCTA5 98938,98938
8600000US98939,167,ZCTA5 98939,98939
8600000US98940,760,ZCTA5 98940,98940
8600000US98941,919,ZCTA5 98941,98941
8600000US98942,16973,ZCTA5 98942,98942
8600000US98943,660,ZCTA5 98943,98943
8600000US98944,22014,ZCTA5 98944,98944
8600000US98946,495,ZCTA5 98946,98946
8600000US98947,2902,ZCTA5 98947,98947
8600000US98948,13225,ZCTA5 98948,98948
8600000US98950,177,ZCTA5 98950,98950
8600000US98951,13739,ZCTA5 98951,98951
8600000US98952,2330,ZCTA5 98952,98952
8600000US98953,6681,ZCTA5 98953,98953
8600000US99001,6151,ZCTA5 99001,99001
8600000US99003,4848,ZCTA5 99003,99003
8600000US99004,18376,ZCTA5 99004,99004
8600000US99005,8574,ZCTA5 99005,99005
8600000US99006,11946,ZCTA5 99006,99006
8600000US99008,641,ZCTA5 99008,99008
8600000US99009,3947,ZCTA5 99009,99009
8600000US99011,2776,ZCTA5 99011,99011
8600000US99012,1064,ZCTA5 99012,99012
8600000US99013,1785,ZCTA5 99013,99013
8600000US99016,12480,ZCTA5 99016,99016
8600000US99017,161,ZCTA5 99017,99017
8600000US99018,282,ZCTA5 99018,99018
8600000US99019,9502,ZCTA5 99019,99019
8600000US99020,82,ZCTA5 99020,99020
8600000US99021,9174,ZCTA5 99021,99021
8600000US99022,8820,ZCTA5 99022,99022
8600000US99023,529,ZCTA5 99023,99023
8600000US99025,5232,ZCTA5 99025,99025
8600000US99026,9042,ZCTA5 99026,99026
8600000US99027,6101,ZCTA5 99027,99027
8600000US99029,1289,ZCTA5 99029,99029
8600000US99030,1032,ZCTA5 99030,99030
8600000US99031,1137,ZCTA5 99031,99031
8600000US99032,691,ZCTA5 99032,99032
8600000US99033,895,ZCTA5 99033,99033
8600000US99034,209,ZCTA5 99034,99034
8600000US99036,1448,ZCTA5 99036,99036
8600000US99037,12973,ZCTA5 99037,99037
8600000US99039,87,ZCTA5 99039,99039
8600000US99040,734,ZCTA5 99040,99040
8600000US99101,1453,ZCTA5 99101,99101
8600000US99102,500,ZCTA5 99102,99102
8600000US99103,497,ZCTA5 99103,99103
8600000US99105,61,ZCTA5 99105,99105
8600000US99109,5109,ZCTA5 99109,99109
8600000US99110,1667,ZCTA5 99110,99110
8600000US99111,4047,ZCTA5 99111,99111
8600000US99113,761,ZCTA5 99113,99113
8600000US99114,12018,ZCTA5 99114,99114
8600000US99115,1143,ZCTA5 99115,99115
8600000US99116,1439,ZCTA5 99116,99116
8600000US99117,485,ZCTA5 99117,99117
8600000US99118,931,ZCTA5 99118,99118
8600000US99119,1204,ZCTA5 99119,99119
8600000US99121,145,ZCTA5 99121,99121
8600000US99122,3773,ZCTA5 99122,99122
8600000US99123,1058,ZCTA5 99123,99123
8600000US99124,240,ZCTA5 99124,99124
8600000US99125,527,ZCTA5 99125,99125
8600000US99126,877,ZCTA5 99126,99126
8600000US99128,321,ZCTA5 99128,99128
8600000US99129,793,ZCTA5 99129,99129
8600000US99130,828,ZCTA5 99130,99130
8600000US99131,170,ZCTA5 99131,99131
8600000US99133,1493,ZCTA5 99133,99133
8600000US99134,643,ZCTA5 99134,99134
8600000US99135,255,ZCTA5 99135,99135
8600000US99136,29,ZCTA5 99136,99136
8600000US99137,343,ZCTA5 99137,99137
8600000US99138,1209,ZCTA5 99138,99138
8600000US99139,1301,ZCTA5 99139,99139
8600000US99140,475,ZCTA5 99140,99140
8600000US99141,5240,ZCTA5 99141,99141
8600000US99143,650,ZCTA5 99143,99143
8600000US99144,43,ZCTA5 99144,99144
8600000US99146,56,ZCTA5 99146,99146
8600000US99147,190,ZCTA5 99147,99147
8600000US99148,2106,ZCTA5 99148,99148
8600000US99149,208,ZCTA5 99149,99149
8600000US99150,380,ZCTA5 99150,99150
8600000US99151,164,ZCTA5 99151,99151
8600000US99152,197,ZCTA5 99152,99152
8600000US99153,467,ZCTA5 99153,99153
8600000US99154,20,ZCTA5 99154,99154
8600000US99155,1350,ZCTA5 99155,99155
8600000US99156,8114,ZCTA5 99156,99156
8600000US99157,697,ZCTA5 99157,99157
8600000US99158,603,ZCTA5 99158,99158
8600000US99159,1375,ZCTA5 99159,99159
8600000US99160,149,ZCTA5 99160,99160
8600000US99161,1400,ZCTA5 99161,99161
8600000US99163,31404,ZCTA5 99163,99163
8600000US99164,0,ZCTA5 99164,99164
8600000US99166,3222,ZCTA5 99166,99166
8600000US99167,625,ZCTA5 99167,99167
8600000US99169,2459,ZCTA5 99169,99169
8600000US99170,1072,ZCTA5 99170,99170
8600000US99171,959,ZCTA5 99171,99171
8600000US99173,1532,ZCTA5 99173,99173
8600000US99174,44,ZCTA5 99174,99174
8600000US99176,145,ZCTA5 99176,99176
8600000US99179,437,ZCTA5 99179,99179
8600000US99180,939,ZCTA5 99180,99180
8600000US99181,1901,ZCTA5 99181,99181
8600000US99185,1295,ZCTA5 99185,99185
