time,zip,county,gas_price,n_ev,n_bev,n_phev,m_ev,m_bev,m_phev,n_evse
2017-01-31,98620,Klickitat,2.743,5.0,1.0,4.0,43,24,20,0
2017-01-31,98621,Wahkiakum,2.743,,,,43,24,20,0
2017-01-31,98624,Pacific,2.743,2.0,1.0,1.0,43,24,20,0
2017-01-31,98625,Cowlitz,2.743,7.0,2.0,5.0,43,24,20,0
2017-01-31,98626,Cowlitz,2.743,11.0,7.0,4.0,43,24,20,0
2017-01-31,98628,Klickitat,2.743,,,,43,24,20,0
2017-01-31,98629,Clark,2.743,13.0,6.0,7.0,43,24,20,0
2017-01-31,98631,Pacific,2.743,1.0,1.0,,43,24,20,1
2017-01-31,98632,Cowlitz,2.743,48.0,22.0,26.0,43,24,20,2
2017-01-31,98635,Klickitat,2.743,7.0,3.0,4.0,43,24,20,0
2017-01-31,98638,Pacific,2.743,,,,43,24,20,0
2017-01-31,98639,Skamania,2.743,1.0,,1.0,43,24,20,0
2017-01-31,98640,Pacific,2.743,2.0,2.0,,43,24,20,0
2017-01-31,98641,Pacific,2.743,,,,43,24,20,0
2017-01-31,98642,Clark,2.743,60.0,29.0,31.0,43,24,20,4
2017-01-31,98643,Wahkiakum,2.743,,,,43,24,20,0
2017-01-31,98644,Pacific,2.743,2.0,,2.0,43,24,20,1
2017-01-31,98645,Cowlitz,2.743,2.0,2.0,,43,24,20,0
2017-01-31,98647,Wahkiakum,2.743,,,,43,24,20,0
2017-01-31,98648,Skamania,2.743,3.0,1.0,2.0,43,24,20,1
2017-01-31,98649,Cowlitz,2.743,,,,43,24,20,0
2017-01-31,98650,Klickitat,2.743,1.0,1.0,,43,24,20,0
2017-01-31,98651,Skamania,2.743,2.0,1.0,1.0,43,24,20,0
2017-01-31,98660,Clark,2.743,23.0,17.0,6.0,43,24,20,1
2017-01-31,98661,Clark,2.743,67.0,41.0,26.0,43,24,20,0
2017-01-31,98662,Clark,2.743,46.0,22.0,24.0,43,24,20,2
2017-01-31,98663,Clark,2.743,25.0,19.0,6.0,43,24,20,0
2017-01-31,98664,Clark,2.743,41.0,26.0,15.0,43,24,20,1
2017-01-31,98665,Clark,2.743,58.0,42.0,16.0,43,24,20,0
2017-01-31,98670,Klickitat,2.743,,,,43,24,20,0
2017-01-31,98671,Clark,2.743,40.0,23.0,17.0,43,24,20,0
2017-01-31,98672,Klickitat,2.743,21.0,11.0,10.0,43,24,20,0
2017-01-31,98673,Klickitat,2.743,1.0,1.0,,43,24,20,0
2017-01-31,98674,Cowlitz,2.743,22.0,16.0,6.0,43,24,20,0
2017-01-31,98675,Clark,2.743,6.0,,6.0,43,24,20,0
2017-01-31,98682,Clark,2.743,114.0,53.0,61.0,43,24,20,0
2017-01-31,98683,Clark,2.743,77.0,47.0,30.0,43,24,20,0
2017-01-31,98684,Clark,2.743,52.0,28.0,24.0,43,24,20,1
2017-01-31,98685,Clark,2.743,91.0,57.0,34.0,43,24,20,1
2017-01-31,98686,Clark,2.743,50.0,27.0,23.0,43,24,20,1
2017-01-31,98801,Chelan,2.743,35.0,23.0,12.0,43,24,20,6
2017-01-31,98802,Douglas,2.743,30.0,17.0,13.0,43,24,20,2
2017-01-31,98811,Chelan,2.743,,,,43,24,20,0
